section,indice,categorie,phase,Pos.,Club,Points
Entente Est Lyonnais,CF,M18,P1,1,U.S. CRAUROISE HANDBALL,0
Entente Est Lyonnais,CF,M18,P1,2,UODL HANDBALL,0
Entente Est Lyonnais,CF,M18,P1,3,ISTRES PROVENCE HANDBALL,0
Entente Est Lyonnais,CF,M18,P1,4,ST PRIEST HANDBALL,0
Entente Est Lyonnais,CF,M18,P1,5,ESTEREL ST RAPHAEL VAR HB (U18M ELITE),0
Entente Est Lyonnais,CF,M18,P1,6,MONTELIMAR CLUB HANDBALL,0
Entente Lyon Est Handball,,M16,P1,1,ANNECY CSAV HANDBALL,0
Entente Lyon Est Handball,,M16,P1,2,CHAMBÉRY LA MOTTE SERVOLEX SAVOIE HANDBALL,0
Entente Lyon Est Handball,,M16,P1,3,M16F EXC - ENTENTE LYON EST HANDBALL,0
Entente Lyon Est Handball,,M16,P1,4,M16F EXC - LYON OUEST HANDBALL,0
Entente Lyon Est Handball,,M16,P1,5,M16F EXC - ENTENTE MEXIMIEUX MONTLUEL,0
Entente Lyon Est Handball,,M16,P1,6,M16F EXC - ENTENTE POISY - ANNECY,0
Entente Lyon Est Handball,A,M18,P1,1,MERMOZ F18,0
Entente Lyon Est Handball,A,M18,P1,2,M18F EXC - ENTENTE BRON VAULX EN VELIN VILLEURBANNE,0
Entente Lyon Est Handball,A,M18,P1,3,UODL HB,0
Entente Lyon Est Handball,A,M18,P1,4,IDA U18F,0
Entente Lyon Est Handball,A,M18,P1,5,Porte de l'isère,0
Entente Lyon Est Handball,A,M18,P1,6,M18F EXC - ENTENTE LYON EST HANDBALL - 1,0
Entente Lyon Est Handball,A,Seniors,P1,1,HANDBALL CLUB DE LYON,0
Entente Lyon Est Handball,A,Seniors,P1,2,ASUL VAULX-EN-VELIN,0
Entente Lyon Est Handball,A,Seniors,P1,3,ST GENIS LAVAL AL HANDBALL 2,0
Entente Lyon Est Handball,A,Seniors,P1,4,SAINT-FLOUR HANDBALL,0
Entente Lyon Est Handball,A,Seniors,P1,5,ST CHAMOND HANDBALL PAYS DU GIER 2,0
Entente Lyon Est Handball,A,Seniors,P1,6,BLANZAT SPORT MONTLUCON,0
Entente Lyon Est Handball,A,Seniors,P1,7,CALUIRE RILLIEUX HANDBALL,0
Entente Lyon Est Handball,A,Seniors,P1,8,ST LAURENT DE CHAMOUSSET HBC,0
Entente Lyon Est Handball,A,Seniors,P1,9,HANDBALL CLERMONT AUVERGNE METROPOLE 63,0
