id,section,indice,categorie,genre,phase,niveau,poule_num,poule_url,equipe_ffhb_proposee,confiance,a_verifier,candidats_poule
Entente_Lyon_Est_Handball_F_M16_P1,Entente Lyon Est Handball,,M16,F,P1,Excellence,3.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m16-ans-feminin-excellence-aura-30508/poule-190246/,M16F EXC - ENTENTE LYON EST HANDBALL,0.81,False,ANNECY CSAV HANDBALL | CHAMBÉRY LA MOTTE SERVOLEX SAVOIE HANDBALL | M16F EXC - ENTENTE LYON EST HANDBALL | M16F EXC - LYON OUEST HANDBALL | M16F EXC - ENTENTE MEXIMIEUX MONTLUEL | M16F EXC - ENTENTE POISY - ANNECY
Entente_Lyon_Est_Handball_F_A_M18_P1,Entente Lyon Est Handball,A,M18,F,P1,Excellence,4.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-feminin-excellence-aura-30507/poule-190314/,M18F EXC - ENTENTE LYON EST HANDBALL - 1,0.8,False,MERMOZ F18 | M18F EXC - ENTENTE BRON VAULX EN VELIN VILLEURBANNE | UODL HB | IDA U18F | PORTE DE L'ISÈRE | M18F EXC - ENTENTE LYON EST HANDBALL - 1
Entente_Villette_Genas_B_M18_P1,Entente Villette Genas,B,M18,G,P1,Excellence,4.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190126/,,0.0,True,
Entente_Lyon_Est_Handball_F_A_Seniors_P1,Entente Lyon Est Handball,A,Seniors,F,P1,Nationale 3,1.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/nationale-3-feminine-aura-30494/,ST PRIEST HANDBALL,1.0,False,ST GENIS LAVAL AL HANDBALL 2 | ASUL VAULX EN VELIN | HANDBALL CLERMONT AUVERGNE METROPOLE 63 | HANDBALL CLUB DE LYON | HBC LANGEAC | ST CHAMOND HANDBALL PAYS DU GIER 2 | AMBERIEU HBC | ST PRIEST HANDBALL | ST LAURENT DE CHAMOUSSET HBC | BLANZAT SPORT MONTLUCON | AS LYON CALUIRE | SAINT-FLOUR HANDBALL
Entente_Lyon_Est_Handball_F_B_Seniors_P1,Entente Lyon Est Handball,B,Seniors,F,P1,Pré-Nationale,3.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/prenationale-feminine-aura-30495/poule-190154/,P16F PNF - ENTENTE LYON EST HANDBALL,0.81,False,P16F PNF - ENTENTE BRON VILLEURBANNE | P16F PNF - ENTENTE LYON EST HANDBALL | P16F PNF - ENTENTE MEXIMIEUX MONTLUEL | SAINT GENIX - AOSTE HB | P16F PNF - PORTE DE L'ISERE | HANDBALL CLUB BOURGETAIN | BELLEY HBC | CS MORESTEL HANDBALL
Entente_Est_Lyonnais_G_R_s_M15_P1,Entente Est Lyonnais,Rés.,M15,G,P1,Réserve,2.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-reserves-aura-30505/poule-190254/,M15M EXC - ENTENTE EST LYONNAIS - RESERVE,0.84,False,VILLEURBANNE HANDBALL ASSOCIATION | ST GENIS LAVAL AL HANDBALL | UODL HANDBALL | M15M EXC - ENTENTE EST LYONNAIS - RESERVE | M15M EXC - ENTENTE NORD ISERE (RESERVE)
Entente_Est_Lyonnais_G_M17_P1,Entente Est Lyonnais,,M17,G,P1,Excellence,2.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m17-ans-masculin-excellence-aura-30503/poule-190250/,M17M EXC - ENTENTE EST LYONNAIS,0.87,False,M17M EXC - LYON METROPOLE | ST GENIS LAVAL AL HANDBALL -17 m aura | UODL HANDBALL | M17M EXC - ENTENTE NORD ISERE | M17M EXC - ENTENTE EST LYONNAIS
Entente_Lyon_Est_Handball_F_A_M13_P1,Entente Lyon Est Handball,A,M13,F,P1,Excellence,4.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-feminin-excellence-aura-30510/poule-190367/,M13F EXC - ENTENTE LYON EST HANDBALL - 1,0.8,False,ASUL VAULX-EN-VELIN | HBC ST LAURENT DE CHAMOUSSET | VILLEURBANNE HANDBALL ASSOCIATION | AS LYON CALUIRE | M13F EXC - ENTENTE LYON EST HANDBALL - 1
Entente_Villette_Genas_A_M13_P1,Entente Villette Genas,A,M13,G,P1,Excellence,8.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m13-ans-masculin-excellence-aura-30506/poule-190357/,M13M EXC - ENTENTE GENAS - VILLETTE,0.8,False,M13M EXC - ENTENTE GENAS - VILLETTE | -13G1 US MEYZIEU HANDBALL | M13M EXC - ENTENTE BOURGOIN/VILLEFONTAINE | M13M EXC - ENTENTE CORBAS - ST PRIEST | M13M Chaponnay
Entente_Lyon_Est_Handball_F_A_M15_P1,Entente Lyon Est Handball,A,M15,F,P1,Excellence,6.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-feminin-excellence-aura-30509/poule-190342/,M15F EXC - ENTENTE LYON EST HANDBALL,0.81,False,PAYS VOIRONNAIS HANDBALL 1 | HBC ECHIROLLES-EYBENS | M15F EXC - ENTENTE BRON VILLEURBANNE | M15F EXC - PORTE DE L'ISERE | M15F EXC - ENTENTE LYON EST HANDBALL | MEYLAN HANDBALL 1
Entente_Est_Lyonnais_G_B_M15_P1,Entente Est Lyonnais,B,M15,G,P1,Excellence,6.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190328/,M15M EXC - ENTENTE EST LYONNAIS,0.87,False,MERMOZ G15A | HANDBALL CLUB DE LYON | SAINT GENIX AOSTE HB 1 | M15M EXC - ENTENTE EST LYONNAIS | M15M CHAPONNAY | BELLEY HBC
Entente_Villette_Genas_C_M15_P1,Entente Villette Genas,C,M15,G,P1,Excellence,4.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m15-ans-masculin-excellence-aura-30504/poule-190326/,M15M EXC - ENTENTE GENAS - VILLETTE,0.8,False,M15M EXC - ENTENTE GENAS - VILLETTE | M15M EXC - MIONS HEYRIEUX | PAYS DE L ARBRESLE HB 1 | AS GENAY HANDBALL | HB GLEIZE ST JULIEN DENICE U15M A | M15M EXC - ENTENTE BEAUJOLAISE 2
Entente_Villette_Genas_D_M18_P1,Entente Villette Genas,D,M18,G,P1,Excellence,4.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190126/,M18M EXC - ENTENTE GENAS-VILLETTE B,1.0,False,HANDBALL BOURG | AS GENAY HANDBALL | COTIERE HANDBALL | VAULX EN VELIN HANDBALL CLUB | M18M EXC - ENTENTE GENAS-VILLETTE B
Entente_Est_Lyonnais_G_A_M18_P1,Entente Est Lyonnais,A,M18,G,P1,Championnat de France,12.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/national/u18-masculins-2026-2027-32522/poule-190991/,ST PRIEST HANDBALL,1.0,False,U.S. CRAUROISE HANDBALL | UODL HANDBALL | ISTRES PROVENCE HANDBALL | ST PRIEST HANDBALL | ESTEREL ST RAPHAEL VAR HB (U18M ELITE) | MONTELIMAR CLUB HANDBALL
Entente_Villette_Genas_C_M18_P1,Entente Villette Genas,C,M18,G,P1,Excellence,10.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190132/,M18M EXC - ENTENTE GENAS - VILLETTE,0.8,False,HANDBALL CLUB DE LYON | M18M EXC - ENTENTE GENAS - VILLETTE | PAYS VOIRONNAIS HANDBALL 1 | CS BOURGOIN JALLIEU HB | M18M EXC - ENTENTE CORBAS - ST PRIEST - CHAPONNAY
Entente_Est_Lyonnais_G_B_M18_P1,Entente Est Lyonnais,B,M18,G,P1,Excellence,3.0,https://www.ffhandball.fr/competitions/saison-2026-2027-22/regional/m18-ans-masculin-excellence-aura-30502/poule-190125/,ENTENTE EST-LYONNAIS - SAINT-PRIEST (U18),1.0,False,ROANNE RIORGES HANDBALL 1 | M18M EXC - ENTENTE LIMAS/VHB | TRÉVOUX - U18 EXCELLENCE | ENTENTE EST-LYONNAIS - SAINT-PRIEST (U18) | M18M EXC - ENTENTE NORD BEAUJOLAIS 1 | CIVRIEUX HANDBALL CLUB
Sporting_Villette_Mixte_Loisirs,Sporting Villette,Mixte,Loisirs,Mixte,,,,,Sporting Villette,,False,
Sporting_Villette_G_Loisirs,Sporting Villette,G,Loisirs,G,,,,,Sporting Villette,,False,
Sporting_Villette_F_Loisirs,Sporting Villette,F,Loisirs,F,,,,,Sporting Villette,,False,
